participant_id,percentage,unitdur,correct,sum_correct,median_ncycle,median_rt
7,0.667,1.0,0,0,4.2359185218811035,4.2359185218811035
7,0.667,1.0,1,6,5.094051957130432,5.094051957130432
7,0.778,0.4,1,14,4.6873876452445975,1.8749550580978391
7,0.778,0.7,1,14,6.25646574156625,4.3795260190963745
7,0.778,1.0,0,0,6.223979949951172,6.223979949951172
7,0.778,1.0,1,8,5.559504508972168,5.559504508972168
7,0.889,0.4,1,14,4.533756375312805,1.8135025501251223
7,0.889,0.7,1,14,4.754975693566459,3.328482985496521
7,0.889,1.0,0,0,4.887025833129883,4.887025833129883
7,0.889,1.0,1,11,4.488966941833496,4.488966941833496
7,1.0,0.4,1,14,4.415093660354614,1.7660374641418457
7,1.0,0.7,1,14,4.443540743419103,3.1104785203933716
7,1.0,1.0,0,0,3.3501851558685303,3.3501851558685303
7,1.0,1.0,1,13,3.993988037109375,3.993988037109375
9,0.0,0.4,0,0,16.485084891319275,6.59403395652771
9,0.0,0.4,1,106,12.79361754655838,5.117447018623352
9,0.0,0.7,0,0,7.628634997776578,5.3400444984436035
9,0.0,0.7,1,102,6.964307001658849,4.875014901161194
9,0.0,1.0,0,0,4.945033073425293,4.945033073425293
9,0.0,1.0,1,103,4.71599006652832,4.71599006652832
9,0.111,0.4,0,0,12.810527682304382,5.124211072921753
9,0.111,0.4,1,2,9.66371238231659,3.8654849529266357
9,0.111,0.7,0,0,7.043645892824445,4.930552124977112
9,0.111,0.7,1,2,9.070716415132797,6.3495014905929565
9,0.111,1.0,0,0,4.609005928039551,4.609005928039551
9,0.111,1.0,1,3,5.134164094924927,5.134164094924927
9,0.222,0.4,0,0,12.703891396522522,5.081556558609009
