unitdur,percentage,participant_id,mean_yes,std_yes,sum_yes,n_trial
0.4,0.444,17,0.5,0.5188745216627708,7,14
0.4,0.444,18,1.0,0.0,12,12
0.4,0.444,20,0.7857142857142857,0.4258153136263201,11,14
0.4,0.444,21,0.7857142857142857,0.4258153136263201,11,14
0.4,0.444,24,0.45454545454545453,0.5222329678670935,5,11
0.4,0.444,25,0.6923076923076923,0.48038446141526137,9,13
0.4,0.444,27,0.9285714285714286,0.2672612419124244,13,14
0.4,0.444,28,0.5384615384615384,0.5188745216627708,7,13
0.4,0.444,29,0.9285714285714286,0.2672612419124244,13,14
0.4,0.444,30,0.7857142857142857,0.4258153136263201,11,14
0.4,0.444,31,0.6428571428571429,0.4972451580988469,9,14
0.4,0.444,34,0.35714285714285715,0.4972451580988469,5,14
0.4,0.444,35,0.7857142857142857,0.42581531362632,11,14
0.4,0.444,36,0.7142857142857143,0.4688072309384954,10,14
0.4,0.556,1,0.7857142857142857,0.4258153136263201,11,14
0.4,0.556,3,0.9285714285714286,0.2672612419124244,13,14
0.4,0.556,4,1.0,0.0,14,14
0.4,0.556,5,0.8333333333333334,0.38924947208076144,10,12
0.4,0.556,6,1.0,0.0,14,14
0.4,0.556,7,0.8571428571428571,0.36313651960128146,12,14
0.4,0.556,9,0.8571428571428571,0.36313651960128146,12,14
0.4,0.556,10,0.9090909090909091,0.30151134457776363,10,11
0.4,0.556,11,0.9230769230769231,0.2773500981126145,12,13
0.4,0.556,12,0.6153846153846154,0.5063696835418333,8,13
0.4,0.556,13,1.0,0.0,14,14
0.4,0.556,14,0.7142857142857143,0.4879500364742666,5,7
0.4,0.556,15,1.0,0.0,14,14
0.4,0.556,17,1.0,0.0,14,14
0.4,0.556,18,1.0,0.0,12,12
0.4,0.556,20,0.8571428571428571,0.36313651960128146,12,14
0.4,0.556,21,0.9285714285714286,0.2672612419124244,13,14
0.4,0.556,24,0.7272727272727273,0.46709936649691375,8,11
0.4,0.556,25,0.9230769230769231,0.2773500981126146,12,13
0.4,0.556,27,1.0,0.0,14,14
0.4,0.556,28,1.0,0.0,14,14
0.4,0.556,29,1.0,0.0,14,14
0.4,0.556,30,1.0,0.0,14,14
0.4,0.556,31,0.5,0.5188745216627708,7,14
0.4,0.556,34,0.8571428571428571,0.3631365196012814,12,14
0.4,0.556,35,0.9285714285714286,0.2672612419124244,13,14
0.4,0.556,36,1.0,0.0,13,13
0.4,0.667,1,1.0,0.0,14,14
0.4,0.667,3,1.0,0.0,14,14
0.4,0.667,4,1.0,0.0,14,14
0.4,0.667,5,1.0,0.0,13,13
0.4,0.667,6,0.9285714285714286,0.2672612419124244,13,14
0.4,0.667,7,1.0,0.0,14,14
0.4,0.667,9,1.0,0.0,14,14
0.4,0.667,10,1.0,0.0,9,9
0.4,0.667,11,1.0,0.0,13,13
0.4,0.667,12,0.8181818181818182,0.40451991747794525,9,11
0.4,0.667,13,1.0,0.0,14,14
0.4,0.667,14,1.0,0.0,10,10
0.4,0.667,15,1.0,0.0,14,14
0.4,0.667,17,1.0,0.0,13,13
0.4,0.667,18,1.0,0.0,12,12
0.4,0.667,20,1.0,0.0,14,14
0.4,0.667,21,1.0,0.0,12,12
0.4,0.667,24,1.0,0.0,9,9
0.4,0.667,25,1.0,0.0,13,13
0.4,0.667,27,0.9285714285714286,0.2672612419124244,13,14
0.4,0.667,28,1.0,0.0,14,14
0.4,0.667,29,1.0,0.0,14,14
0.4,0.667,30,1.0,0.0,14,14
0.4,0.667,31,0.8571428571428571,0.3631365196012814,12,14
0.4,0.667,34,1.0,0.0,14,14
0.4,0.667,35,1.0,0.0,14,14
0.4,0.667,36,1.0,0.0,12,12
0.4,0.778,1,1.0,0.0,14,14
0.4,0.778,3,1.0,0.0,14,14
0.4,0.778,4,1.0,0.0,14,14
0.4,0.778,5,1.0,0.0,8,8
0.4,0.778,6,1.0,0.0,14,14
0.4,0.778,7,1.0,0.0,14,14
0.4,0.778,9,1.0,0.0,13,13
0.4,0.778,10,1.0,0.0,10,10
0.4,0.778,11,1.0,0.0,13,13
0.4,0.778,12,1.0,0.0,11,11
0.4,0.778,13,1.0,0.0,14,14
0.4,0.778,14,1.0,0.0,9,9
0.4,0.778,15,1.0,0.0,14,14
0.4,0.778,17,0.9230769230769231,0.2773500981126146,12,13
0.4,0.778,18,1.0,0.0,12,12
0.4,0.778,20,1.0,0.0,14,14
0.4,0.778,21,1.0,0.0,13,13
0.4,0.778,24,0.8888888888888888,0.3333333333333333,8,9
0.4,0.778,25,1.0,0.0,14,14
0.4,0.778,27,1.0,0.0,14,14
0.4,0.778,28,1.0,0.0,14,14
0.4,0.778,29,1.0,0.0,14,14
0.4,0.778,30,1.0,0.0,14,14
0.4,0.778,31,0.9285714285714286,0.2672612419124244,13,14
0.4,0.778,34,1.0,0.0,11,11
0.4,0.778,35,1.0,0.0,14,14
0.4,0.778,36,1.0,0.0,13,13
0.4,0.889,1,1.0,0.0,13,13
0.4,0.889,3,1.0,0.0,14,14
0.4,0.889,4,1.0,0.0,14,14
0.4,0.889,5,1.0,0.0,9,9
0.4,0.889,6,1.0,0.0,13,13
0.4,0.889,7,1.0,0.0,14,14
0.4,0.889,9,1.0,0.0,14,14
0.4,0.889,10,1.0,0.0,13,13
0.4,0.889,11,1.0,0.0,14,14
0.4,0.889,12,1.0,0.0,12,12
0.4,0.889,13,1.0,0.0,14,14
0.4,0.889,14,1.0,0.0,9,9
0.4,0.889,15,1.0,0.0,14,14
0.4,0.889,17,1.0,0.0,13,13
0.4,0.889,18,1.0,0.0,12,12
0.4,0.889,20,1.0,0.0,14,14
0.4,0.889,21,1.0,0.0,14,14
0.4,0.889,24,0.8888888888888888,0.3333333333333333,8,9
0.4,0.889,25,1.0,0.0,14,14
0.4,0.889,27,1.0,0.0,14,14
0.4,0.889,28,1.0,0.0,14,14
0.4,0.889,29,1.0,0.0,14,14
0.4,0.889,30,1.0,0.0,14,14
0.4,0.889,31,1.0,0.0,14,14
0.4,0.889,34,1.0,0.0,11,11
0.4,0.889,35,1.0,0.0,14,14
0.4,0.889,36,1.0,0.0,12,12
0.4,1.0,1,0.9230769230769231,0.2773500981126145,12,13
0.4,1.0,3,1.0,0.0,14,14
0.4,1.0,4,1.0,0.0,14,14
0.4,1.0,5,1.0,0.0,9,9
0.4,1.0,6,1.0,0.0,14,14
0.4,1.0,7,1.0,0.0,14,14
0.4,1.0,9,1.0,0.0,14,14
0.4,1.0,10,1.0,0.0,13,13
0.4,1.0,11,1.0,0.0,14,14
0.4,1.0,12,1.0,0.0,10,10
0.4,1.0,13,1.0,0.0,14,14
0.4,1.0,14,1.0,0.0,12,12
0.4,1.0,15,1.0,0.0,14,14
0.4,1.0,17,1.0,0.0,14,14
0.4,1.0,18,1.0,0.0,12,12
0.4,1.0,20,1.0,0.0,14,14
0.4,1.0,21,1.0,0.0,14,14
